#BIRDS,DATEHBEG,LATHEND,LONHEND
75,01-AUG-17,414048,695136
2,02-AUG-17,413830,695030
2,02-AUG-17,414006,695112
45,02-AUG-17,414030,695100
8,03-AUG-17,414054,694942
2,04-AUG-17,414030,695112
45,06-AUG-17,414130,695048
25,07-AUG-17,414006,695124
5,07-AUG-17,414118,695048
74,09-AUG-17,414036,695142
13,09-AUG-17,414118,695118
2,09-AUG-17,414136,695124
40,10-AUG-17,414012,695112
1,11-AUG-17,413712,694630
23,11-AUG-17,413936,695124
1,15-AUG-17,414742,693430
1,17-AUG-17,413206,694100
1,18-AUG-17,413230,694124
161,18-AUG-17,413436,694942
7,18-AUG-17,413606,694848
5,18-AUG-17,413636,695848
3,18-AUG-17,413748,695130
58,20-AUG-17,413742,694948
17,22-AUG-17,413442,695042
6,24-AUG-17,413524,695012
1,28-AUG-17,414206,694606
