OBJECTID,SOG,COG,Heading,ROT,BaseDateTime,Status,VoyageID,MMSI,ReceiverType,ReceiverID,MIKE_UTM_Y,MIKE_UTM_X,lat,lon
1,0,327,511,128,7/16/2011 12:04:00,0,520,366925440,b,003669713,4690835.420780075700000,331867.341743289490000,42.351618000000002,-71.041391999999988
2,0,183,511,128,7/16/2011 12:05:00,0,520,366925440,b,003669971,4690832.611099705100000,331868.675288909110000,42.351593000000022,-71.041375000000002
3,0,285,511,128,7/16/2011 12:06:00,0,520,366925440,b,003669971,4690829.815264077900000,331869.432279901580000,42.351567999999965,-71.041364999999999
4,0,142,511,128,7/16/2011 12:07:00,0,520,366925440,b,003669713,4690829.521692998700000,331867.776978451760000,42.351564999999994,-71.041384999999991
5,0,122,511,128,7/16/2011 12:08:00,0,520,366925440,b,003669713,4690828.454781783700000,331865.938281490470000,42.351555000000012,-71.041406999999992
6,0,308,511,128,7/16/2011 12:09:00,0,520,366925440,b,003669971,4690827.586221590600000,331865.093298556280000,42.351547000000032,-71.041416999999996
7,0,134,511,128,7/16/2011 12:10:00,0,520,366925440,b,003669971,4690827.122274069100000,331865.906284155320000,42.351543000000007,-71.041407000000007
8,0,260,511,128,7/16/2011 12:11:00,0,520,366925440,b,003669713,4690829.091084906800000,331862.574643764640000,42.351560000000042,-71.041447999999988
9,0,213,511,128,7/16/2011 12:12:00,0,520,366925440,b,003669971,4690826.071186106700000,331863.408665034920000,42.351532999999996,-71.041437000000002
10,0,177,511,128,7/16/2011 12:13:00,0,520,366925440,b,003669713,4690827.574640119400000,331870.202603462150000,42.351548000000022,-71.041354999999996
11,0,198,511,128,7/16/2011 12:14:00,0,520,366925440,b,003669713,4690820.753882905500000,331876.631838114000000,42.351487999999996,-71.041274999999985
12,0,280,511,128,7/16/2011 12:16:00,0,520,366925440,b,003669713,4690825.833563238400000,331868.677368617620000,42.351531999999992,-71.041372999999993
13,0,74,511,128,7/16/2011 12:17:00,0,520,366925440,b,003669713,4690830.711228955500000,331864.509038578720000,42.351574999999990,-71.041424999999990
14,0,204,511,128,7/16/2011 12:18:00,0,520,366925440,b,003669971,4690824.742918098300000,331867.827052927580000,42.351521999999989,-71.041382999999982
15,0,199,511,128,7/16/2011 12:19:00,0,520,366925440,b,003669713,4690819.442840633900000,331871.078706125730000,42.351474999999986,-71.041341999999986
16,0,231,511,128,7/16/2011 12:20:00,0,520,366925440,b,003669713,4690823.398543613000000,331868.289247104900000,42.351510000000005,-71.041376999999983
17,0,239,511,128,7/16/2011 12:21:00,0,520,366925440,b,003669713,4690829.527626413900000,331867.529883108100000,42.351565000000036,-71.041388000000012
18,0,254,511,128,7/16/2011 12:22:00,0,520,366925440,b,003669713,4690828.940770110100000,331868.834392935040000,42.351560000000028,-71.041371999999996
19,0,232,511,128,7/16/2011 12:23:00,0,520,366925440,b,003669713,4690829.742086786800000,331872.479788970200000,42.351567999999993,-71.041327999999979
20,0,285,511,128,7/16/2011 12:24:00,0,520,366925440,b,003669971,4690827.707725942100000,331873.914367216640000,42.351550000000017,-71.041309999999996
21,0,170,511,128,7/16/2011 12:25:00,0,520,366925440,b,003669713,4690830.915798276700000,331869.870769296770000,42.351577999999996,-71.041359999999983
22,0,6,511,128,7/16/2011 12:26:00,0,520,366925440,b,003669971,4690830.745423067400000,331872.339055854830000,42.351576999999999,-71.041330000000002
23,0,237,511,128,7/16/2011 12:27:00,0,520,366925440,b,003669713,4690826.973940054000000,331872.083669859920000,42.351543000000007,-71.041331999999997
24,0,320,511,128,7/16/2011 12:28:00,0,520,366925440,b,003669713,4690820.406912146100000,331877.200395833700000,42.351485000000032,-71.041268000000002
25,0,255,511,128,7/16/2011 12:29:00,0,520,366925440,b,003669713,4690824.614363158100000,331873.180788979870000,42.351521999999989,-71.041318000000004
26,0,346,511,128,7/16/2011 12:30:00,0,520,366925440,b,003669971,4690818.996982982400000,331875.765525468630000,42.351472000000001,-71.041284999999988
